year,month,year-Month,boroName,countPedes,countPortNY,countPortNewark,countPortNYnNewark,crimeTotal,sumCrimeAssault-Ofns8,sumCrimeDrugsDangerous-Ofns14,sumCrimeHarrassment-Ofns28,sumCrimeRobbery-Ofns63,sumCrimeStreet-Prem61,sumCrimeFelony-LawCat1,sumCrimeMisdemeanor-LawCat2,sumCrimeViolation-LawCat3
2007,5,2007-5,Bronx,77706,306510,118361,424871,10684,1217,1393,1401,388,4009,2768,6498,1418
2007,9,2007-9,Bronx,75129,326364,123756,450120,10438,1043,1396,1409,414,4274,2806,6208,1424
2008,5,2008-5,Bronx,67243,377442,165324,542766,9902,1076,1400,1162,391,3943,2486,6237,1179
2008,9,2008-9,Bronx,71054,367684,163849,531533,9523,1006,1224,1150,488,3911,2730,5627,1166
2009,5,2009-5,Bronx,65464,329234,146635,475869,9855,1115,1312,1073,338,3813,2414,6333,1108
2009,9,2009-9,Bronx,75254,366058,155199,521257,9850,1022,1453,1141,362,4102,2533,6156,1161
2010,5,2010-5,Bronx,82846,372983,177437,550420,9645,1196,1228,1076,396,3704,2360,6185,1100
2010,9,2010-9,Bronx,76831,382850,156992,539842,9831,1165,1289,1115,427,4014,2508,6185,1138
2011,5,2011-5,Bronx,86557,406062,167589,573651,9527,1144,1194,1052,374,3625,2361,6098,1068
2011,9,2011-9,Bronx,80592,423843,156827,580670,8931,983,1159,1020,464,3562,2427,5460,1044
2012,5,2012-5,Bronx,65544,439141,157741,596882,9502,1288,1113,1111,402,3420,2487,5883,1132
2012,9,2012-9,Bronx,79209,464837,156662,621499,9070,1089,1146,1077,437,3442,2456,5523,1091
2013,5,2013-5,Bronx,89085,499233,171096,670329,8871,1116,938,1102,362,3130,2356,5401,1114
2013,9,2013-9,Bronx,79435,513551,159536,673087,9061,1121,862,1108,440,3374,2507,5432,1122
2014,5,2014-5,Bronx,83543,560507,171411,731918,9377,1299,1004,1246,328,3186,2433,5681,1263
2014,9,2014-9,Bronx,83242,561774,167685,729459,9426,1162,1054,1128,305,3475,2456,5829,1141
2015,5,2015-5,Bronx,85773,626460,166464,792924,9391,1319,699,1205,329,3359,2493,5682,1216
2015,9,2015-9,Bronx,83543,648840,160845,809685,9519,1150,957,1280,404,3440,2727,5508,1284
2016,5,2016-5,Bronx,85328,607725,166420,774145,9495,1249,699,1342,373,3275,2559,5582,1354
2016,9,2016-9,Bronx,83247,620518,166933,787451,8712,1105,596,1221,356,2901,2566,4920,1226
2017,5,2017-5,Bronx,84869,581461,160263,741724,8936,1160,582,1358,290,2907,2400,5172,1364
2017,9,2017-9,Bronx,86878,602459,164457,766916,8858,1178,654,1328,285,3018,2387,5134,1337
2007,5,2007-5,Brooklyn,179375,306510,118361,424871,13848,1621,966,1730,617,4900,4402,7690,1756
2007,9,2007-9,Brooklyn,183456,326364,123756,450120,13663,1534,1083,1750,717,5229,4521,7370,1772
2008,5,2008-5,Brooklyn,184502,377442,165324,542766,13578,1521,1005,1560,688,5190,4278,7725,1575
2008,9,2008-9,Brooklyn,181916,367684,163849,531533,13125,1339,818,1583,711,5043,4409,7113,1603
2009,5,2009-5,Brooklyn,184268,329234,146635,475869,13018,1482,980,1560,535,5014,3960,7461,1597
2009,9,2009-9,Brooklyn,178563,366058,155199,521257,12608,1323,996,1471,559,4890,4013,7097,1498
2010,5,2010-5,Brooklyn,197294,372983,177437,550420,12777,1605,1101,1377,531,4779,3764,7594,1419
