year,month,flagWkday1Sat0,flagAmPmMd,count,loc,boroughBridgeName,flagBroroughBridge,onStreet,from,to,END
2007,05,1,a,1189,1,Bronx,bo,Broadway,West 231st Street,Naples Terrace,1
2007,05,1,a,1511,2,Bronx,bo,East 161st Street,Grand Concourse,Sheridan Avenue,1
2007,05,1,a,1832,3,Bronx,bo,East Fordham Road,Valentine Avenue,Tiebout Avenue,1
2007,05,1,a,764,4,Bronx,bo,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,1
2007,05,1,a,650,5,Bronx,bo,East Tremont Avenue,Prospect Avenue,Clinton Avenue,1
2007,05,1,a,489,6,Bronx,bo,Grand Concourse,East 164th Street,East 165th Street,1
2007,05,1,a,703,7,Bronx,bo,Third Avenue,East 150th Street,East 151st Street,1
2007,05,1,a,1025,8,Bronx,bo,White Plains Road,Pelham Parkway South,Lydig Avenue,1
2007,05,1,a,856,9,Brooklyn,bo,5th Avenue,51st Street,52nd Street,1
2007,05,1,a,504,10,Brooklyn,bo,5th Avenue,Union Street ,President Street,1
2007,05,1,a,2345,11,Brooklyn,bo,7th Avenue ,9th Street,8th Street,1
2007,05,1,a,983,12,Brooklyn,bo,86th Street,4th Avenue,5th Avenue,1
2007,05,1,a,357,13,Brooklyn,bo,Atlantic Avenue,Boerum Place,Smith Street,1
2007,05,1,a,1852,14,Brooklyn,bo,Bedford Avenue,North 7th Street,North 6th Street,1
2007,05,1,a,1204,15,Brooklyn,bo,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,1
2007,05,1,a,2105,16,Brooklyn,bo,Church Avenue,Nostrand Avenue,East 31st Street,1
2007,05,1,a,1708,17,Brooklyn,bo,Cortelyou Road,Argyle Road,Rugby Road,1
2007,05,1,a,1910,18,Brooklyn,bo,Court Street,Atlantic Avenue,Pacific Street,1
2007,05,1,a,739,19,Brooklyn,bo,Eastern Parkway,Plaza Street East,Underhill Avenue,1
2007,05,1,a,329,20,Brooklyn,bo,Flatbush Avenue,Avenue U,Avenue V,1
2007,05,1,a,978,21,Brooklyn,bo,Flatbush Avenue,Martense Street,Church Avenue,1
2007,05,1,a,497,22,Brooklyn,bo,Flatbush Avenue,St. Marks Avenue,Prospect Place,1
2007,05,1,a,1478,23,Brooklyn,bo,Fulton Street,Lawrence Street,Bridge Street,1
2007,05,1,a,864,24,Brooklyn,bo,Graham Avenue,Moore Street,Varet Street,1
2007,05,1,a,401,25,Brooklyn,bo,Grand Street,Manhattan Avenue,Graham Avenue,1
2007,05,1,a,1946,26,Brooklyn,bo,Jay Street,Willoughby Street,Metrotech Walk,1
2007,05,1,a,1368,27,Brooklyn,bo,Kings Highway,East 13th Street,East 14th Street,1
2007,05,1,a,1476,28,Brooklyn,bo,Montague Street,Henry Street,Clinton Street,1
2007,05,1,a,141,30,Brooklyn,bo,Old Fulton Street,Elizabeth Place,Everit Place,1
2007,05,1,a,572,31,Brooklyn,bo,Pitkin Avenue,Bristol Street,Hopkinson Avenue,1
2007,05,1,a,1580,32,Brooklyn,bo,Sheepshead Bay Road,East 14th Street ,East 15th Street,1
2007,05,1,a,90,33,Brooklyn,bo,VanBrunt Street,Beard Street,VanDike Street,1
2007,05,1,a,546,34,Brooklyn,bo,Washington Street ,Front Street,Water Street,1
2007,05,1,a,3469,35,Manhattan,bo,Broad Street,Beaver Street,South William Street,1
2007,05,1,a,3660,36,Manhattan,bo,Broadway,Morris Street,Exchange Place,1
2007,05,1,a,1611,37,Manhattan,bo,Broadway,West 63rd Street,West 64th Street,1
2007,05,1,a,7081,38,Manhattan,bo,Chambers Street ,West Broadway,Greenwich Street,1
2007,05,1,a,1071,39,Manhattan,bo,Columbus Avenue,West 75th Street,West 76th Street,1
2007,05,1,a,1085,40,Manhattan,bo,Delancey Street,Orchard Street,Ludlow Street,1
2007,05,1,a,2265,41,Manhattan,bo,East 14th Street,Fifth Avenue,University Place,1
2007,05,1,a,7485,42,Manhattan,bo,East 42nd Street,Park Avenue,Lexington Avenue,1
2007,05,1,a,944,43,Manhattan,bo,East 8th Street,University Place,Greene Street,1
2007,05,1,a,2735,44,Manhattan,bo,Eighth Avenue,West 44th Street,West 45th Street,1
2007,05,1,a,3081,45,Manhattan,bo,Fifth Avenue,East 54th Street,East 55th Street,1
2007,05,1,a,1373,46,Manhattan,bo,Forsyth Street,Canal Street,Division Street,1
2007,05,1,a,4530,47,Manhattan,bo,Fulton Street,Broadway,Nassau Street,1
2007,05,1,a,2593,48,Manhattan,bo,Fulton Street,Cliff Street,Pearl Street,1
2007,05,1,a,4502,49,Manhattan,bo,Lexington Avenue,East 57th Street,East 58th Street,1
2007,05,1,a,667,50,Manhattan,bo,Madison Avenue,East 71st Street,East 72nd Street,1
2007,05,1,a,10084,51,Manhattan,bo,Seventh Avenue,West 32nd Street,West 33rd Street,1
2007,05,1,a,4552,52,Manhattan,bo,Trinity Place,Rector Street,Thames Street,1
2007,05,1,a,3784,53,Manhattan,bo,Wall Street,New Street,Nassau Street,1
2007,05,1,a,1706,54,Manhattan,bo,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1
2007,05,1,a,1540,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2007,05,1,a,1305,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2007,05,1,a,12000,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
2007,05,1,a,5454,58,Manhattan,bo,West 40th Street,Avenue of the Americas,Fifth Avenue,1
2007,05,1,a,3897,59,Manhattan,bo,West 47th Street,Avenue of the Americas,Fifth Avenue,1
2007,05,1,a,2335,60,Manhattan,bo,Second Avenue,50th Street,51st Street,1
2007,05,1,a,5504,61,Manhattan,bo,Third Avenue,50th Street,51st Street,1
2007,05,1,a,5730,62,Manhattan,bo,Lexington Avenue,50th Street,51st Street,1
2007,05,1,a,6824,63,Manhattan,bo,Park Avenue,50th Street,51st Street,1
2007,05,1,a,4204,64,Manhattan,bo,Madison Avenue,50th Street,51st Street,1
2007,05,1,a,5565,65,Manhattan,bo,Fifth Avenue,50th Street,51st Street,1
2007,05,1,a,8288,66,Manhattan,bo,Sixth Avenue,50th Street,51st Street,1
2007,05,1,a,4490,67,Manhattan,bo,Seventh Avenue,50th Street,51st Street,1
2007,05,1,a,3651,68,Manhattan,bo,Broadway,50th Street,51st Street,1
2007,05,1,a,2817,69,Manhattan,bo,Eighth Avenue,50th Street,51st Street,1
2007,05,1,a,190,70,Manhattan,bo,Hudson River Greenway,50th Street,51st Street,1
2007,05,1,a,824,71,Queens,bo,165th Street,89th Avenue,Jamaica Avenue,1
2007,05,1,a,1002,72,Queens,bo,37th Avenue,73rd Street,74th Street,1
2007,05,1,a,1739,73,Queens,bo,82nd Street,37th Avenue,Roosevelt Avenue,1
2007,05,1,a,622,74,Queens,bo,Austin Street,71st Ave,70th Road,1
2007,05,1,a,549,75,Queens,bo,Bell Boulevard,40th Avenue,41st Avenue,1
2007,05,1,a,467,76,Queens,bo,Fresh Pond Road,Cypress Hills Street,70th Avenue,1
2007,05,1,a,1693,77,Queens,bo,Hillside Avenue,169th Street,170th Street,1
2007,05,1,a,354,78,Queens,bo,Jackson Avenue,Queens Street,42nd Road,1
2007,05,1,a,813,79,Queens,bo,Jamaica Avenue,148th Street,149th Street,1
2007,05,1,a,1390,80,Queens,bo,Jamaica Avenue,162nd Street,Guy R. Brewer Boulevard,1
2007,05,1,a,790,81,Queens,bo,Jamaica Avenue,86th Street,87th Street,1
2007,05,1,a,1805,82,Queens,bo,Main Street,37th Avenue,38th Avenue,1
2007,05,1,a,63,83,Queens,bo,Merrick Boulevard,108th Drive,169th Place,1
2007,05,1,a,927,84,Queens,bo,Mott Avenue,Smith Place,Central Avenue,1
2007,05,1,a,1245,85,Queens,bo,Myrtle Avenue,Palmetto Street,Woodbine Street,1
2007,05,1,a,426,86,Queens,bo,Myrtle Avenue,Weirfield Street,Centre Street,1
2007,05,1,a,302,87,Queens,bo,Northern Boulevard,50' East of 161st Street,,1
2007,05,1,a,368,88,Queens,bo,Prince Street,37th Avenue,38th Avenue,1
2007,05,1,a,6569,89,Queens,bo,Queens Boulevard,50' East of 80th Road,,1
2007,05,1,a,434,90,Queens,bo,Queens Boulevard,Woodhaven Boulevard,90th Street,1
2007,05,1,a,5036,91,Queens,bo,Queens Plaza North & South,Crescent Street,27th Street,1
2007,05,1,a,7893,92,Queens,bo,Roosevelt Avenue,Main Street,Union Street,1
2007,05,1,a,1115,93,Queens,bo,Steinway Street,31st Avenue,Broadway,1
2007,05,1,a,1076,94,Queens,bo,Sutphin Boulevard,89th Avenue,90th Avenue,1
2007,05,1,a,245,95,Queens,bo,Yellowstone Boulevard,Queens Boulevard,Gerard Place,1
2007,05,1,a,147,96,Staten Island,bo,Forest Avenue,Regan Avenue,Davis Avenue,1
2007,05,1,a,240,97,Staten Island,bo,New Dorp Lane,Hylan Boulevard,Clawson Street,1
2007,05,1,a,840,98,Staten Island,bo,Pedestrian Walkway from Ferry Terminal,50' north of Richmond Terrace,,1
2007,05,1,a,134,99,Staten Island,bo,Richmond Hill Road,400' west of Richmond Terrace,,1
2007,05,1,a,715,100,Staten Island,bo,Victory Boulevard,Bay Street,Van Duzer Street,1
2007,05,1,a,582,101,East River Bridges,br,Brooklyn Bridge,midpoint,,1
2007,05,1,a,82,103,East River Bridges,br,Manhattan Bridge - South Path,midpoint,,1
2007,05,1,a,130,104,East River Bridges,br,Williamsburg Bridge,midpoint,,1
2007,05,1,a,35,105,East River Bridges,br,Queensboro Bridge,midpoint,,1
2007,05,1,a,360,106,Harlem River Bridges,br,Broadway Bridge,midpoint,,1
2007,05,1,a,192,107,Harlem River Bridges,br,University Heights Bridge,midpoint,,1
2007,05,1,a,103,108,Harlem River Bridges,br,Macombs Dam Bridge,midpoint,,1
2007,05,1,a,132,109,Harlem River Bridges,br,145th Street Bridge,midpoint,,1
2007,05,1,a,145,110,Harlem River Bridges,br,Madison Avenue Bridge,midpoint,,1
2007,05,1,a,49,111,Harlem River Bridges,br,Third Avenue Bridge,midpoint,,1
2007,05,1,a,57,112,Harlem River Bridges,br,Willis Avenue Bridge,midpoint,,1
2007,05,1,a,17,113,Harlem River Bridges,br,Triborough Bridge (Manhattan span),midpoint,,1
2007,05,1,a,57,114,Harlem River Bridges,br,Wards Island Bridge,midpoint,,1
2007,05,1,p,4094,1,Bronx,bo,Broadway,West 231st Street,Naples Terrace,1
2007,05,1,p,3184,2,Bronx,bo,East 161st Street,Grand Concourse,Sheridan Avenue,1
2007,05,1,p,12311,3,Bronx,bo,East Fordham Road,Valentine Avenue,Tiebout Avenue,1
2007,05,1,p,2673,4,Bronx,bo,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,1
2007,05,1,p,2538,5,Bronx,bo,East Tremont Avenue,Prospect Avenue,Clinton Avenue,1
2007,05,1,p,1235,6,Bronx,bo,Grand Concourse,East 164th Street,East 165th Street,1
2007,05,1,p,8776,7,Bronx,bo,Third Avenue,East 150th Street,East 151st Street,1
2007,05,1,p,4039,8,Bronx,bo,White Plains Road,Pelham Parkway South,Lydig Avenue,1
2007,05,1,p,5940,9,Brooklyn,bo,5th Avenue,51st Street,52nd Street,1
2007,05,1,p,2207,10,Brooklyn,bo,5th Avenue,Union Street ,President Street,1
2007,05,1,p,4089,11,Brooklyn,bo,7th Avenue ,9th Street,8th Street,1
2007,05,1,p,4193,12,Brooklyn,bo,86th Street,4th Avenue,5th Avenue,1
2007,05,1,p,889,13,Brooklyn,bo,Atlantic Avenue,Boerum Place,Smith Street,1
2007,05,1,p,4462,14,Brooklyn,bo,Bedford Avenue,North 7th Street,North 6th Street,1
2007,05,1,p,5968,15,Brooklyn,bo,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,1
2007,05,1,p,4562,16,Brooklyn,bo,Church Avenue,Nostrand Avenue,East 31st Street,1
2007,05,1,p,2459,17,Brooklyn,bo,Cortelyou Road,Argyle Road,Rugby Road,1
2007,05,1,p,3716,18,Brooklyn,bo,Court Street,Atlantic Avenue,Pacific Street,1
2007,05,1,p,1572,19,Brooklyn,bo,Eastern Parkway,Plaza Street East,Underhill Avenue,1
2007,05,1,p,1770,20,Brooklyn,bo,Flatbush Avenue,Avenue U,Avenue V,1
2007,05,1,p,5240,21,Brooklyn,bo,Flatbush Avenue,Martense Street,Church Avenue,1
2007,05,1,p,1413,22,Brooklyn,bo,Flatbush Avenue,St. Marks Avenue,Prospect Place,1
2007,05,1,p,12249,23,Brooklyn,bo,Fulton Street,Lawrence Street,Bridge Street,1
2007,05,1,p,3732,24,Brooklyn,bo,Graham Avenue,Moore Street,Varet Street,1
2007,05,1,p,1772,25,Brooklyn,bo,Grand Street,Manhattan Avenue,Graham Avenue,1
2007,05,1,p,3552,26,Brooklyn,bo,Jay Street,Willoughby Street,Metrotech Walk,1
2007,05,1,p,4727,27,Brooklyn,bo,Kings Highway,East 13th Street,East 14th Street,1
2007,05,1,p,4567,28,Brooklyn,bo,Montague Street,Henry Street,Clinton Street,1
2007,05,1,p,600,30,Brooklyn,bo,Old Fulton Street,Elizabeth Place,Everit Place,1
2007,05,1,p,3355,31,Brooklyn,bo,Pitkin Avenue,Bristol Street,Hopkinson Avenue,1
2007,05,1,p,2215,32,Brooklyn,bo,Sheepshead Bay Road,East 14th Street ,East 15th Street,1
2007,05,1,p,232,33,Brooklyn,bo,VanBrunt Street,Beard Street,VanDike Street,1
2007,05,1,p,1387,34,Brooklyn,bo,Washington Street ,Front Street,Water Street,1
2007,05,1,p,3992,35,Manhattan,bo,Broad Street,Beaver Street,South William Street,1
2007,05,1,p,8390,36,Manhattan,bo,Broadway,Morris Street,Exchange Place,1
2007,05,1,p,6764,37,Manhattan,bo,Broadway,West 63rd Street,West 64th Street,1
2007,05,1,p,8512,38,Manhattan,bo,Chambers Street ,West Broadway,Greenwich Street,1
2007,05,1,p,3037,39,Manhattan,bo,Columbus Avenue,West 75th Street,West 76th Street,1
2007,05,1,p,2733,40,Manhattan,bo,Delancey Street,Orchard Street,Ludlow Street,1
2007,05,1,p,13723,41,Manhattan,bo,East 14th Street,Fifth Avenue,University Place,1
2007,05,1,p,15513,42,Manhattan,bo,East 42nd Street,Park Avenue,Lexington Avenue,1
2007,05,1,p,5422,43,Manhattan,bo,East 8th Street,University Place,Greene Street,1
2007,05,1,p,8412,44,Manhattan,bo,Eighth Avenue,West 44th Street,West 45th Street,1
2007,05,1,p,16471,45,Manhattan,bo,Fifth Avenue,East 54th Street,East 55th Street,1
2007,05,1,p,7481,46,Manhattan,bo,Forsyth Street,Canal Street,Division Street,1
2007,05,1,p,9162,47,Manhattan,bo,Fulton Street,Broadway,Nassau Street,1
2007,05,1,p,6755,48,Manhattan,bo,Fulton Street,Cliff Street,Pearl Street,1
2007,05,1,p,21634,49,Manhattan,bo,Lexington Avenue,East 57th Street,East 58th Street,1
2007,05,1,p,3760,50,Manhattan,bo,Madison Avenue,East 71st Street,East 72nd Street,1
2007,05,1,p,25156,51,Manhattan,bo,Seventh Avenue,West 32nd Street,West 33rd Street,1
2007,05,1,p,7164,52,Manhattan,bo,Trinity Place,Rector Street,Thames Street,1
2007,05,1,p,5560,53,Manhattan,bo,Wall Street,New Street,Nassau Street,1
2007,05,1,p,7519,54,Manhattan,bo,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1
2007,05,1,p,5089,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2007,05,1,p,6516,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2007,05,1,p,28123,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
