portName,year,month,count,END
new york,2007,01,207004,1
new york,2007,02,211755,1
new york,2007,03,288772,1
new york,2007,04,314862,1
new york,2007,05,306510,1
new york,2007,06,325376,1
new york,2007,07,379432,1
new york,2007,08,360276,1
new york,2007,09,326364,1
new york,2007,10,365486,1
new york,2007,11,330249,1
new york,2007,12,389942,1
newark,2007,01,89189,1
newark,2007,02,92301,1
newark,2007,03,104265,1
newark,2007,04,85595,1
newark,2007,05,118361,1
newark,2007,06,116177,1
newark,2007,07,121926,1
newark,2007,08,124230,1
newark,2007,09,123756,1
newark,2007,10,120728,1
newark,2007,11,101840,1
newark,2007,12,103809,1
los angeles,2007,01,164391,1
los angeles,2007,02,152279,1
los angeles,2007,03,185076,1
los angeles,2007,04,185094,1
los angeles,2007,05,196387,1
los angeles,2007,06,202347,1
los angeles,2007,07,217728,1
los angeles,2007,08,212447,1
los angeles,2007,09,216461,1
los angeles,2007,10,192473,1
los angeles,2007,11,166281,1
los angeles,2007,12,202277,1
new york,2008,01,240841,1
new york,2008,02,254564,1
new york,2008,03,340695,1
new york,2008,04,358080,1
new york,2008,05,377442,1
new york,2008,06,376266,1
new york,2008,07,431093,1
new york,2008,08,421575,1
new york,2008,09,367684,1
new york,2008,10,395799,1
new york,2008,11,308139,1
new york,2008,12,383084,1
newark,2008,01,107813,1
newark,2008,02,114795,1
newark,2008,03,154141,1
newark,2008,04,159933,1
newark,2008,05,165324,1
newark,2008,06,149429,1
newark,2008,07,177858,1
newark,2008,08,165692,1
newark,2008,09,163849,1
newark,2008,10,187169,1
newark,2008,11,135574,1
newark,2008,12,152906,1
los angeles,2008,01,175731,1
los angeles,2008,02,161387,1
los angeles,2008,03,189027,1
los angeles,2008,04,195653,1
los angeles,2008,05,209697,1
los angeles,2008,06,219617,1
los angeles,2008,07,230780,1
los angeles,2008,08,227706,1
los angeles,2008,09,223934,1
los angeles,2008,10,181277,1
los angeles,2008,11,147012,1
los angeles,2008,12,183920,1
new york,2009,01,223880,1
new york,2009,02,226186,1
new york,2009,03,268799,1
new york,2009,04,360808,1
new york,2009,05,329234,1
new york,2009,06,351213,1
new york,2009,07,408178,1
new york,2009,08,390541,1
new york,2009,09,366058,1
new york,2009,10,402510,1
new york,2009,11,299354,1
new york,2009,12,384549,1
newark,2009,01,86188,1
newark,2009,02,100185,1
newark,2009,03,119354,1
newark,2009,04,165904,1
newark,2009,05,146635,1
newark,2009,06,142602,1
newark,2009,07,161533,1
newark,2009,08,160382,1
newark,2009,09,155199,1
newark,2009,10,169289,1
newark,2009,11,123871,1
newark,2009,12,157325,1
los angeles,2009,01,152404,1
los angeles,2009,02,136370,1
los angeles,2009,03,160498,1
los angeles,2009,04,180054,1
los angeles,2009,05,175129,1
los angeles,2009,06,184001,1
los angeles,2009,07,217238,1
los angeles,2009,08,211708,1
los angeles,2009,09,217676,1
los angeles,2009,10,203743,1
los angeles,2009,11,157632,1
los angeles,2009,12,198327,1
new york,2010,01,236794,1
new york,2010,02,234437,1
new york,2010,03,317040,1
new york,2010,04,316391,1
new york,2010,05,372983,1
new york,2010,06,375388,1
new york,2010,07,456606,1
new york,2010,08,409443,1
new york,2010,09,382850,1
new york,2010,10,409905,1
new york,2010,11,321102,1
new york,2010,12,374938,1
newark,2010,01,106058,1
newark,2010,02,109620,1
newark,2010,03,158401,1
newark,2010,04,148424,1
newark,2010,05,177437,1
newark,2010,06,164454,1
newark,2010,07,171989,1
newark,2010,08,159495,1
newark,2010,09,156992,1
newark,2010,10,168791,1
newark,2010,11,120263,1
newark,2010,12,142674,1
los angeles,2010,01,170975,1
los angeles,2010,02,157197,1
los angeles,2010,03,186904,1
los angeles,2010,04,186911,1
los angeles,2010,05,212593,1
los angeles,2010,06,247995,1
los angeles,2010,07,266996,1
los angeles,2010,08,252479,1
los angeles,2010,09,254669,1
los angeles,2010,10,235645,1
los angeles,2010,11,190762,1
los angeles,2010,12,229964,1
new york,2011,01,258212,1
new york,2011,02,255247,1
new york,2011,03,345674,1
new york,2011,04,377958,1
new york,2011,05,406062,1
new york,2011,06,424689,1
new york,2011,07,473252,1
new york,2011,08,463888,1
new york,2011,09,423843,1
new york,2011,10,426499,1
new york,2011,11,343591,1
new york,2011,12,412080,1
newark,2011,01,102899,1
newark,2011,02,107525,1
newark,2011,03,151499,1
newark,2011,04,155655,1
newark,2011,05,167589,1
newark,2011,06,157030,1
newark,2011,07,159426,1
newark,2011,08,157159,1
newark,2011,09,156827,1
newark,2011,10,157869,1
newark,2011,11,110422,1
newark,2011,12,134112,1
los angeles,2011,01,193908,1
los angeles,2011,02,167599,1
los angeles,2011,03,203329,1
los angeles,2011,04,208602,1
los angeles,2011,05,229606,1
los angeles,2011,06,265921,1
los angeles,2011,07,274443,1
los angeles,2011,08,277490,1
los angeles,2011,09,275457,1
los angeles,2011,10,240432,1
los angeles,2011,11,194993,1
los angeles,2011,12,238728,1
new york,2012,01,279630,1
new york,2012,02,276058,1
new york,2012,03,374308,1
new york,2012,04,439526,1
new york,2012,05,439141,1
new york,2012,06,473990,1
new york,2012,07,489899,1
new york,2012,08,518334,1
new york,2012,09,464837,1
new york,2012,10,443093,1
new york,2012,11,366080,1
new york,2012,12,449223,1
newark,2012,01,99740,1
newark,2012,02,105430,1
newark,2012,03,144598,1
newark,2012,04,162886,1
newark,2012,05,157741,1
newark,2012,06,149607,1
newark,2012,07,146863,1
newark,2012,08,154824,1
newark,2012,09,156662,1
newark,2012,10,146948,1
newark,2012,11,100581,1
newark,2012,12,125550,1
los angeles,2012,01,216841,1
los angeles,2012,02,178001,1
los angeles,2012,03,219754,1
los angeles,2012,04,230293,1
los angeles,2012,05,246619,1
los angeles,2012,06,283847,1
los angeles,2012,07,281890,1
los angeles,2012,08,302502,1
los angeles,2012,09,296245,1
los angeles,2012,10,245220,1
los angeles,2012,11,199224,1
los angeles,2012,12,247492,1
new york,2013,01,316282,1
new york,2013,02,294422,1
new york,2013,03,438808,1
new york,2013,04,446565,1
new york,2013,05,499233,1
new york,2013,06,513701,1
new york,2013,07,566339,1
new york,2013,08,568376,1
new york,2013,09,513551,1
new york,2013,10,540644,1
new york,2013,11,416978,1
new york,2013,12,520699,1
newark,2013,01,111760,1
newark,2013,02,94800,1
newark,2013,03,154146,1
newark,2013,04,161966,1
newark,2013,05,171096,1
newark,2013,06,152560,1
newark,2013,07,168994,1
newark,2013,08,166639,1
newark,2013,09,159536,1
